geoid,name,B05002001,"B05002001, Error",B05002002,"B05002002, Error",B05002003,"B05002003, Error",B05002004,"B05002004, Error",B05002005,"B05002005, Error",B05002006,"B05002006, Error",B05002007,"B05002007, Error",B05002008,"B05002008, Error",B05002009,"B05002009, Error",B05002010,"B05002010, Error",B05002011,"B05002011, Error",B05002012,"B05002012, Error",B05002013,"B05002013, Error",B05002014,"B05002014, Error",B05002015,"B05002015, Error",B05002016,"B05002016, Error",B05002017,"B05002017, Error",B05002018,"B05002018, Error",B05002019,"B05002019, Error",B05002020,"B05002020, Error",B05002021,"B05002021, Error",B05002022,"B05002022, Error",B05002023,"B05002023, Error",B05002024,"B05002024, Error",B05002025,"B05002025, Error",B05002026,"B05002026, Error",B05002027,"B05002027, Error"
16000US0641124,"Lemon Grove, CA",26767,51,21252,683,15405,697,5312,496,1227,255,1389,218,1873,323,823,155,535,169,0,23,56,72,479,147,5515,688,3202,509,178,91,847,184,263,153,0,23,1914,371,0,23,2313,423,155,149,344,145,67,96,9,18,1732,408,6,12
16000US0641142,"Lemon Hill, CA",14096,1024,9644,838,8219,771,1286,349,220,118,333,256,423,206,310,127,139,93,6,8,19,30,114,87,4452,529,1701,318,133,156,961,274,31,43,110,107,466,146,0,19,2751,464,201,190,469,207,33,42,22,34,2026,407,0,19
16000US0641152,"Lemoore, CA",25791,32,21891,473,16400,721,5157,619,580,177,1284,347,2046,371,1247,270,334,149,16,28,44,70,274,115,3900,471,2020,298,95,88,964,263,31,34,0,23,862,220,68,67,1880,368,24,28,517,202,21,36,14,21,1260,342,44,72
16000US0641166,"Lemoore Station, CA",7063,513,6675,531,2703,452,3703,484,498,224,529,196,2056,396,620,213,269,122,0,17,26,40,243,119,388,144,247,109,50,58,97,69,23,39,0,17,77,51,0,17,141,66,0,17,83,52,31,44,0,17,27,24,0,17
16000US0641180,"Lennox, CA",21329,1025,11490,754,10770,765,476,171,107,77,64,42,182,116,123,86,244,145,24,27,0,23,220,142,9839,785,3419,423,39,28,109,80,23,30,113,181,3135,359,0,23,6420,652,0,23,132,124,0,23,0,23,6288,646,0,23
16000US0641194,"Lenwood, CA",3884,907,3498,826,2928,798,570,226,20,34,203,107,142,131,205,117,0,12,0,12,0,12,0,12,386,179,185,100,8,14,0,12,0,12,0,12,177,99,0,12,201,130,0,12,22,36,0,12,0,12,179,128,0,12
16000US0641208,"Leona Valley, CA",1581,254,1505,256,1091,283,404,123,119,53,136,68,97,48,52,43,10,16,0,12,0,12,10,16,76,55,55,36,16,25,10,15,0,12,0,12,29,24,0,12,21,25,0,12,0,12,0,12,0,12,21,25,0,12
16000US0641278,"Lewiston, CA",1340,251,1292,246,903,206,376,106,46,31,80,42,94,47,156,77,13,21,0,12,0,12,13,21,48,34,18,21,0,12,9,17,0,12,0,12,9,10,0,12,30,24,30,24,0,12,0,12,0,12,0,12,0,12
16000US0641282,"Lexington Hills, CA",2603,318,2378,309,1643,273,663,117,227,85,159,60,110,64,167,68,72,59,0,12,0,12,72,59,225,95,118,68,47,54,55,43,0,12,0,12,10,15,6,9,107,62,36,32,29,32,0,12,0,12,29,33,13,20
16000US0641390,"Likely, CA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0641474,"Lincoln, CA",46939,44,40552,666,28116,852,11837,729,2175,346,4078,472,2731,376,2853,327,599,132,66,54,0,26,533,134,6387,666,3985,453,819,170,1843,322,41,46,46,53,1151,266,85,50,2402,463,202,125,501,191,47,76,20,23,1574,422,58,67
16000US0641558,"Lincoln Village, CA",4768,432,4217,412,3676,406,503,153,75,76,87,58,104,68,237,129,38,81,0,12,0,12,38,81,551,242,422,189,103,90,146,145,0,12,0,12,173,125,0,12,129,131,32,50,0,12,0,12,0,12,97,121,0,12
16000US0641572,"Linda, CA",19314,811,16113,827,12694,693,3292,472,368,142,972,257,1133,340,819,205,127,68,0,19,35,33,92,60,3201,463,1693,346,81,55,821,259,4,8,29,38,753,201,5,9,1508,328,38,32,294,137,34,48,18,22,1104,272,20,23
16000US0641656,"Lindcove, CA",438,201,347,194,321,182,26,33,0,12,0,12,23,33,3,5,0,12,0,12,0,12,0,12,91,86,16,21,0,12,0,12,0,12,0,12,16,21,0,12,75,72,0,12,0,12,0,12,0,12,75,72,0,12
16000US0641670,"Linden, CA",1790,399,1779,401,1524,363,245,99,8,13,130,70,35,43,72,45,10,16,0,12,0,12,10,16,11,16,3,8,3,8,0,12,0,12,0,12,0,12,0,12,8,13,8,13,0,12,0,12,0,12,0,12,0,12
16000US0641712,"Lindsay, CA",13232,56,8325,420,7532,452,626,196,18,28,106,73,199,87,303,134,167,140,0,19,0,19,167,140,4907,414,1063,304,50,87,157,158,0,19,0,19,856,217,0,19,3844,436,0,19,174,168,0,19,28,43,3642,427,0,19
16000US0641740,"Linnell Camp, CA",686,383,367,251,247,178,120,87,0,12,0,12,75,72,45,41,0,12,0,12,0,12,0,12,319,183,24,35,0,12,0,12,0,12,0,12,24,35,0,12,295,170,0,12,0,12,0,12,0,12,295,170,0,12
16000US0641782,"Litchfield, CA",178,129,178,129,151,125,27,32,0,12,0,12,0,12,27,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0641789,"Little Grass Valley, CA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0641866,"Little River, CA",189,144,181,144,87,90,44,71,0,12,0,12,44,71,0,12,50,81,0,12,0,12,50,81,8,11,8,11,0,12,5,10,0,12,0,12,3,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0641880,"Littlerock, CA",1766,719,1198,534,1118,522,80,84,0,12,11,21,11,22,58,73,0,12,0,12,0,12,0,12,568,280,189,132,14,23,18,28,0,12,0,12,157,129,0,12,379,230,0,12,0,12,0,12,0,12,379,230,0,12
16000US0641908,"Little Valley, CA",18,18,18,18,18,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0641922,"Live Oak, CA",17390,827,14583,755,10724,615,3493,311,1083,178,1003,176,749,159,658,139,366,239,19,27,0,19,347,236,2807,512,1170,254,176,66,338,127,0,19,0,19,630,212,26,25,1637,471,104,61,124,83,0,19,8,11,1384,456,17,15
